diamond_id,value_tier,tier_label
75828361,mid_range,1
54919571,mid_range,1
72698112,budget,0
76011268,mid_range,1
75533925,mid_range,1
76150032,budget,0
73510958,investment_grade,3
76274127,mid_range,1
75722074,mid_range,1
75984422,investment_grade,3
73995907,budget,0
75370630,mid_range,1
76225083,mid_range,1
75849529,investment_grade,3
73561748,mid_range,1
75527503,mid_range,1
76340354,mid_range,1
76263759,mid_range,1
49864887,mid_range,1
75846429,mid_range,1
76191297,premium,2
73506428,investment_grade,3
75823501,mid_range,1
76047538,budget,0
53711320,budget,0
75593383,budget,0
76340385,investment_grade,3
76248428,premium,2
71122445,budget,0
75756187,budget,0
75335768,investment_grade,3
75574889,investment_grade,3
75920383,mid_range,1
75527296,mid_range,1
74103288,premium,2
75829800,mid_range,1
75521658,budget,0
75791870,mid_range,1
76139565,mid_range,1
73514240,mid_range,1
75756346,premium,2
76225392,investment_grade,3
73934955,premium,2
75531573,budget,0
75823402,investment_grade,3
64164145,premium,2
75760236,premium,2
76264127,mid_range,1
75531520,budget,0
75687655,budget,0
75593142,budget,0
63806205,mid_range,1
74028170,mid_range,1
75515676,mid_range,1
73482922,mid_range,1
75535662,mid_range,1
76274445,mid_range,1
75539354,mid_range,1
75598383,budget,0
75612256,mid_range,1
75701363,investment_grade,3
72699914,mid_range,1
75687654,budget,0
75829971,mid_range,1
50990132,mid_range,1
75529395,mid_range,1
75539229,budget,0
57730272,mid_range,1
72691497,mid_range,1
73514387,mid_range,1
75761331,investment_grade,3
56924660,mid_range,1
72686672,mid_range,1
68382784,mid_range,1
75841931,budget,0
75828084,mid_range,1
75803333,mid_range,1
75574747,investment_grade,3
75839478,mid_range,1
75842119,mid_range,1
76210398,mid_range,1
56931379,mid_range,1
75840218,premium,2
54847153,premium,2
75756198,mid_range,1
75708159,investment_grade,3
47095094,premium,2
75531569,budget,0
75721639,mid_range,1
74104453,mid_range,1
76214478,mid_range,1
76150081,mid_range,1
73505518,mid_range,1
61373741,mid_range,1
75595587,mid_range,1
75756150,mid_range,1
75822808,premium,2
75600588,budget,0
76274270,mid_range,1
