domain,diamond_id,value_tier,width,height,aspect_ratio,r_mean,g_mean,b_mean,r_std,g_std,b_std
ja_natural,28263785,mid_range,757,600,1.2617,172.4205,172.904,174.3578,60.7603,59.4887,57.8593
ja_natural,19777865,mid_range,757,600,1.2617,181.761,181.9117,180.3603,44.0099,43.253,43.3532
ja_natural,28356786,mid_range,757,600,1.2617,183.8896,183.2188,181.8915,31.4007,31.7868,31.3966
ja_natural,28104812,mid_range,757,600,1.2617,187.8712,186.7251,184.2264,56.4354,55.8265,55.7997
ja_natural,27784360,mid_range,757,600,1.2617,186.2267,185.1614,185.3347,32.6585,32.0673,32.3347
ja_natural,28315130,mid_range,757,600,1.2617,182.5077,182.2373,181.2097,44.8056,43.995,43.6612
ja_natural,27442765,mid_range,757,600,1.2617,192.0526,192.4128,191.791,34.3216,33.7374,34.1213
ja_natural,23636141,mid_range,757,600,1.2617,169.5081,169.6397,169.1797,70.6832,70.3933,68.8327
ja_natural,27911059,mid_range,757,600,1.2617,190.2849,189.6839,186.3134,36.7207,37.2111,37.5396
ja_natural,25861244,mid_range,757,600,1.2617,185.2023,184.6098,181.4937,26.0397,25.6689,26.9534
ja_natural,18718989,mid_range,757,600,1.2617,173.8989,174.7796,174.8359,51.3638,49.8833,49.1371
ja_natural,27509324,mid_range,757,600,1.2617,187.2391,186.6881,185.7375,40.8559,41.3566,42.0226
ja_natural,12757177,mid_range,757,600,1.2617,184.4691,183.7749,183.8394,36.2674,36.893,35.9021
ja_natural,27144094,mid_range,757,600,1.2617,190.5759,190.4497,189.9706,35.8248,35.4017,35.429
ja_natural,23530800,mid_range,757,600,1.2617,184.1798,183.8181,185.0054,35.7194,35.5044,35.7955
ja_natural,25591101,mid_range,757,600,1.2617,186.2132,185.9154,184.3762,36.2878,35.7984,35.2873
ja_natural,27572945,mid_range,757,600,1.2617,184.3946,183.3509,180.7707,33.082,32.652,32.6319
ja_natural,27443039,mid_range,757,600,1.2617,186.194,185.2206,180.3442,36.8416,36.4318,36.7471
ja_natural,27654444,mid_range,757,600,1.2617,184.4057,184.3139,182.2084,32.9893,32.4633,32.4085
ja_natural,28208975,mid_range,757,600,1.2617,182.7081,182.0819,178.5164,29.8361,28.8856,29.809
ja_natural,16497041,mid_range,757,600,1.2617,192.2269,192.0413,192.2212,31.3944,31.2231,31.1598
ja_natural,28266785,mid_range,757,600,1.2617,184.2623,183.5505,183.385,33.1365,32.9031,32.5897
ja_natural,27091052,mid_range,757,600,1.2617,190.7175,189.1086,187.721,28.4745,28.6118,28.9324
ja_natural,28315505,mid_range,757,600,1.2617,181.7037,181.2832,176.564,40.7946,39.7757,40.6739
ja_natural,26529200,mid_range,757,600,1.2617,186.0053,185.6483,186.5844,41.8927,42.2706,42.1497
ja_natural,18852234,mid_range,757,600,1.2617,181.1822,180.4315,176.8905,38.2255,38.1184,38.4228
ja_natural,24280011,mid_range,757,600,1.2617,179.3979,176.7964,174.18,33.5846,33.8452,34.9249
ja_natural,28447090,mid_range,757,600,1.2617,182.7094,181.9236,179.4693,36.4649,36.3709,37.5253
ja_natural,27992264,mid_range,757,600,1.2617,183.5249,182.4501,181.2012,40.0798,39.7837,39.6838
ja_natural,14902433,mid_range,757,600,1.2617,178.1742,177.1962,175.1858,52.181,52.833,52.6417
ja_natural,27701276,mid_range,757,600,1.2617,189.5672,188.8843,188.7512,39.1154,39.48,39.5006
ja_natural,22981668,mid_range,757,600,1.2617,188.3148,187.2135,186.6579,29.4652,29.3233,28.8918
ja_natural,24907349,mid_range,757,600,1.2617,174.5623,175.0863,174.5873,57.7757,56.5801,56.1062
ja_natural,28235308,mid_range,757,600,1.2617,191.7475,190.0512,183.9624,34.2322,34.2934,35.4669
ja_natural,26728451,mid_range,757,600,1.2617,189.6452,188.957,188.5493,29.5997,29.5548,29.3977
ja_natural,11637209,mid_range,757,600,1.2617,178.7562,178.8156,177.9391,37.5843,37.2693,37.6054
ja_natural,26483487,mid_range,757,600,1.2617,189.4285,188.9901,188.0105,30.8654,31.2707,31.51
ja_natural,25649910,mid_range,757,600,1.2617,187.7061,187.1276,185.4746,25.8831,24.3644,23.467
ja_natural,27017518,mid_range,757,600,1.2617,187.5,187.2523,185.7209,39.6398,39.699,39.7728
ja_natural,27780849,mid_range,757,600,1.2617,182.1553,182.2033,181.9429,36.3245,36.3281,36.0096
ja_natural,27152673,mid_range,757,600,1.2617,191.4434,190.8714,189.1124,37.2507,36.9817,37.0734
ja_natural,27661917,mid_range,757,600,1.2617,180.9142,178.3072,174.2709,39.4553,39.3742,40.9018
ja_natural,25151543,mid_range,757,600,1.2617,182.4935,181.1161,179.6821,35.0285,34.8272,36.1283
ja_natural,16619611,mid_range,757,600,1.2617,190.4844,190.0254,186.6471,28.5855,29.0451,30.1609
ja_natural,27209630,mid_range,757,600,1.2617,189.6049,189.0325,187.8594,34.385,34.102,33.6643
ja_natural,24194898,mid_range,757,600,1.2617,189.7258,189.2617,185.2766,37.2057,36.9606,37.9726
ja_natural,18117105,mid_range,757,600,1.2617,192.182,192.0206,188.0964,33.2218,32.3364,31.4484
ja_natural,25616752,mid_range,757,600,1.2617,183.0162,183.1841,182.33,40.7268,39.6253,39.4824
ja_natural,25784538,mid_range,757,600,1.2617,188.6679,187.1305,183.366,35.8532,35.651,35.1629
ja_natural,22448773,mid_range,757,600,1.2617,181.2757,181.2879,180.5113,43.3703,43.2195,43.2255
ja_natural,28151728,mid_range,757,600,1.2617,184.1559,182.9691,182.7078,37.4696,37.6051,37.4144
ja_natural,26950340,mid_range,757,600,1.2617,173.4758,171.7296,169.791,45.7054,46.1506,47.1727
ja_natural,28480636,mid_range,757,600,1.2617,185.3946,185.2872,185.5408,44.8059,44.2876,43.7825
ja_natural,19686778,mid_range,757,600,1.2617,189.2703,187.4559,187.7336,34.4222,34.0789,33.7291
ja_natural,25899357,mid_range,757,600,1.2617,180.2933,179.5056,178.0827,39.925,39.757,40.4013
ja_natural,28321121,mid_range,757,600,1.2617,189.0735,188.3931,187.5714,27.4588,27.4803,28.0259
ja_natural,26375524,mid_range,757,600,1.2617,181.7935,180.9741,180.0735,39.9144,40.0649,40.3234
ja_natural,23160873,mid_range,757,600,1.2617,177.6595,177.4809,176.4303,60.6121,61.0729,61.6894
ja_natural,24373571,mid_range,757,600,1.2617,179.5107,178.971,174.1721,42.3668,40.2709,39.4435
ja_natural,27561426,mid_range,757,600,1.2617,188.9978,188.1623,185.6107,32.9052,32.3897,32.7873
ja_natural,28220678,mid_range,757,600,1.2617,178.586,178.3139,177.992,47.1348,47.0975,47.5002
ja_natural,26669838,mid_range,757,600,1.2617,185.2211,185.021,182.2112,34.2528,34.6929,36.1269
ja_natural,25449008,mid_range,757,600,1.2617,171.2216,172.0606,173.8048,61.2137,59.8522,59.8961
ja_natural,28407931,mid_range,757,600,1.2617,174.2887,172.682,164.5082,41.1353,42.248,45.0922
ja_natural,26816020,mid_range,757,600,1.2617,169.0571,168.4258,166.155,62.2231,62.2101,61.7739
ja_natural,20649597,mid_range,757,600,1.2617,175.6973,175.305,174.0903,64.8223,64.7064,64.1513
ja_natural,27910877,mid_range,757,600,1.2617,185.6892,184.8808,183.0553,39.6133,39.0884,38.6705
ja_natural,23305036,mid_range,757,600,1.2617,188.0947,187.0779,183.5155,33.8522,33.3874,33.1565
ja_natural,27216332,mid_range,757,600,1.2617,189.5097,188.93,187.1223,41.9841,41.0718,40.5525
ja_natural,27793038,mid_range,757,600,1.2617,185.627,185.0855,184.0187,39.1788,38.8752,39.0568
ja_natural,17557132,mid_range,757,600,1.2617,190.6634,190.6966,191.3646,25.5415,25.0121,24.7385
ja_natural,18742286,mid_range,757,600,1.2617,179.49,179.6652,180.8435,51.1595,49.9544,47.54
ja_natural,28393286,mid_range,757,600,1.2617,184.1865,182.8634,177.3469,44.6708,44.1367,44.425
ja_natural,28081000,mid_range,757,600,1.2617,188.6379,188.3126,188.4661,35.0916,34.4153,33.9678
ja_natural,27742164,mid_range,757,600,1.2617,188.2321,188.1292,183.5134,34.8823,34.1173,33.3352
ja_natural,23883472,mid_range,757,600,1.2617,170.6959,170.5468,171.1471,68.6112,67.7252,67.601
ja_natural,15034030,mid_range,757,600,1.2617,172.6602,172.3278,172.4569,62.0177,61.8424,61.3401
ja_natural,17882092,mid_range,757,600,1.2617,169.9326,169.8549,168.8692,65.2402,64.16,62.3751
ja_natural,28484284,mid_range,757,600,1.2617,187.0746,186.2746,182.8601,35.7807,35.5278,35.6012
ja_natural,24772197,mid_range,757,600,1.2617,185.757,184.1359,175.6481,31.8841,32.3338,34.3543
ja_natural,27969752,mid_range,757,600,1.2617,176.3947,176.8521,176.1011,69.407,69.2939,68.8859
ja_natural,27987430,mid_range,757,600,1.2617,181.0916,181.2186,181.8749,64.7794,63.8602,63.1124
ja_natural,26143853,mid_range,757,600,1.2617,178.1169,177.8962,177.8887,56.3283,55.173,53.8801
ja_natural,26541253,mid_range,757,600,1.2617,185.877,185.5117,184.5153,34.9083,34.8386,35.1311
ja_natural,27701186,mid_range,757,600,1.2617,191.5609,190.8383,188.2713,34.2107,34.2084,34.3202
ja_natural,27715648,mid_range,757,600,1.2617,187.7513,187.0983,185.2432,41.9264,42.4944,42.7596
ja_natural,18186673,mid_range,757,600,1.2617,183.6815,183.1757,180.1721,35.987,36.2552,36.3705
ja_natural,27753854,mid_range,757,600,1.2617,174.1908,174.2261,172.933,55.4315,54.3475,53.9771
ja_natural,22183230,mid_range,757,600,1.2617,172.9598,173.5104,174.8722,57.5432,55.8964,54.6686
ja_natural,27859991,mid_range,757,600,1.2617,163.3194,162.5654,161.9889,63.5551,63.8646,62.9619
ja_natural,25779441,mid_range,757,600,1.2617,188.6623,188.1742,187.3638,32.2884,31.6753,32.5899
ja_natural,28071951,mid_range,757,600,1.2617,187.2745,185.8097,186.2432,35.71,35.3886,34.4
ja_natural,15180078,mid_range,757,600,1.2617,186.3683,186.4438,186.1184,28.0505,27.3444,27.1925
ja_natural,16972867,mid_range,764,606,1.2607,173.7739,174.5493,174.903,53.4797,52.0471,50.6154
ja_natural,26581822,mid_range,757,600,1.2617,176.4023,177.5305,179.867,57.1661,55.351,53.1479
ja_natural,28238961,mid_range,757,600,1.2617,171.588,171.2538,172.6262,58.9804,58.3174,56.5639
ja_natural,23798824,mid_range,757,600,1.2617,190.4608,189.6996,187.824,30.5436,30.155,29.8273
ja_natural,26647155,mid_range,757,600,1.2617,184.9872,183.4384,179.7239,36.5812,36.1682,36.4677
ja_natural,28027654,mid_range,757,600,1.2617,193.6239,193.5888,193.8906,31.6213,31.8504,31.7662
ja_natural,24190926,mid_range,757,600,1.2617,185.2292,185.386,184.0669,55.4033,53.7629,53.3211
ja_natural,27727251,mid_range,757,600,1.2617,193.7691,193.7139,193.6545,31.3116,31.2605,31.3774
ja_natural,27898841,mid_range,757,600,1.2617,190.8577,190.4894,190.5479,34.2394,34.2065,34.1267
ja_natural,26246329,mid_range,757,600,1.2617,188.3438,187.3048,186.4732,40.1857,40.1731,40.1319
ja_natural,24452944,mid_range,757,600,1.2617,178.1972,177.4939,176.9886,60.9494,60.4718,58.9499
ja_natural,26484356,mid_range,757,600,1.2617,191.3424,190.3803,184.9674,40.443,40.0927,40.1513
ja_natural,27217668,mid_range,757,600,1.2617,169.5138,169.7172,165.2371,66.4914,65.612,64.967
ja_natural,15796743,mid_range,757,600,1.2617,183.4734,183.5949,180.3797,38.9011,38.1442,38.0298
ja_natural,27180333,mid_range,757,600,1.2617,184.4497,183.3766,180.0318,43.3265,42.6518,43.1469
ja_natural,17827526,mid_range,757,600,1.2617,185.1338,184.7296,183.3621,29.2295,28.8096,28.8746
ja_natural,27313797,mid_range,757,600,1.2617,183.7025,182.0595,181.8495,44.9181,45.0626,44.4971
ja_natural,27576059,mid_range,757,600,1.2617,191.0553,190.4768,188.825,25.1102,25.1584,25.3112
ja_natural,28254309,mid_range,757,600,1.2617,181.9937,181.6622,181.1484,46.0432,45.6176,45.9287
ja_natural,28472550,mid_range,757,600,1.2617,185.4184,184.5078,180.6953,26.8857,26.7591,28.6035
ja_natural,26241717,mid_range,757,600,1.2617,185.3918,183.702,179.5293,29.0087,28.826,30.0304
ja_natural,20072041,mid_range,757,600,1.2617,185.4434,185.4776,184.7866,39.4981,38.756,38.1585
ja_natural,27861099,mid_range,757,600,1.2617,180.3184,179.2461,178.1552,39.3335,39.2623,38.7868
ja_natural,25870585,mid_range,757,600,1.2617,188.9724,188.6927,187.7453,38.5446,38.871,38.6272
ja_natural,26640182,mid_range,757,600,1.2617,187.4287,187.3698,187.5165,36.7977,36.5789,36.1819
